kategori,isim_kelime1,isim_kelime2,aciklama_sablon
air conditioners,RISARYA,H20R1203,"RISARYA H20R1203, her alanda etkileyici bir performans sunar."
air conditioners,Godrej,1,"Yeni Godrej 1, şıklık ve performansı bir araya getiriyor."
air conditioners,Panasonic,1,"Panasonic 1, kaliteyi uygun fiyatla sunar."
air conditioners,Voltas,Split,"Voltas Split, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,Samsung,1.5,"Samsung 1.5, kaliteyi uygun fiyatla sunar."
air conditioners,Amazon,Basics,Evinizin vazgeçilmezi: Amazon Basics.
air conditioners,Blue,Star,"Yeni Blue Star, şıklık ve performansı bir araya getiriyor."
air conditioners,Panasonic,1,"Panasonic 1, gelişmiş özellikleriyle hayatınızı kolaylaştırır."
air conditioners,TOSHIBA,1,"TOSHIBA 1, gelişmiş özellikleriyle hayatınızı kolaylaştırır."
air conditioners,Onida,1.5,"Onida 1.5, gelişmiş özellikleriyle hayatınızı kolaylaştırır."
air conditioners,Mini,Air,Evinizin vazgeçilmezi: Mini Air.
air conditioners,Hitachi,ZUNOH,"Hitachi ZUNOH, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,Panasonic,1.5,"Panasonic 1.5, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,LG,1.5,Evinizin vazgeçilmezi: LG 1.5.
air conditioners,Samsung,1.5,"Samsung 1.5, her alanda etkileyici bir performans sunar."
air conditioners,Daikin,1.5,"Daikin 1.5, gelişmiş özellikleriyle hayatınızı kolaylaştırır."
air conditioners,Voltas,1,"Voltas 1, gelişmiş özellikleriyle hayatınızı kolaylaştırır."
air conditioners,VOLTAS,36CZV,Evinizin vazgeçilmezi: VOLTAS 36CZV.
air conditioners,Voltas,1,Evinizin vazgeçilmezi: Voltas 1.
air conditioners,BENBOAR,Portable,"BENBOAR Portable, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,Samsung,1,"Samsung 1, her alanda etkileyici bir performans sunar."
air conditioners,Voltas,Split,"Yeni Voltas Split, şıklık ve performansı bir araya getiriyor."
air conditioners,Whirlpool,1.5,"Yeni Whirlpool 1.5, şıklık ve performansı bir araya getiriyor."
air conditioners,Onida,1.5,"Onida 1.5, her alanda etkileyici bir performans sunar."
air conditioners,Panasonic,1.5,"Panasonic 1.5, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,Voltas,1.5,Evinizin vazgeçilmezi: Voltas 1.5.
air conditioners,Hitachi,1.5,"Hitachi 1.5, her alanda etkileyici bir performans sunar."
air conditioners,OGeneral,1.51066,"OGeneral 1.51066, her alanda etkileyici bir performans sunar."
air conditioners,Haier,1.0,"Haier 1.0, gelişmiş özellikleriyle hayatınızı kolaylaştırır."
air conditioners,Voltas,1.4,"Voltas 1.4, her alanda etkileyici bir performans sunar."
air conditioners,Hitachi,2.0,"Hitachi 2.0, kaliteyi uygun fiyatla sunar."
air conditioners,LG,2.0,"LG 2.0, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,Portable,Air,"Portable Air, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,Lloyd,1.5,Evinizin vazgeçilmezi: Lloyd 1.5.
air conditioners,1.5,Ton,Evinizin vazgeçilmezi: 1.5 Ton.
air conditioners,LG,1.0,"LG 1.0, kullanıcı deneyimini üst seviyeye taşıyor."
air conditioners,Air,Conditioner,Evinizin vazgeçilmezi: Air Conditioner.
